university,year,rank_display,score,link,country,city,region,type,student_faculty_ratio,size
King Fahd University of Petroleum & Minerals,2017,189,48.3,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals,Saudi Arabia,Dhahran,Asia,Public,7,M
Radboud University ,2017,190,48.2,https://www.topuniversities.com/universities/radboud-university,Netherlands,Nijmegen,Europe,Public,11,L
Universidade Estadual de Campinas (Unicamp),2017,191,48,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,Brazil,Campinas,Latin America,Public,15,L
University of Cape Town,2017,191,48,https://www.topuniversities.com/universities/university-cape-town,South Africa,Cape Town,Africa,Public,14,L
University of Technology Sydney,2017,193,47.8,https://www.topuniversities.com/universities/university-technology-sydney,Australia,Haymarket,Oceania,Public,16,L
Queen's University Belfast,2017,195,47.5,https://www.topuniversities.com/universities/queens-university-belfast,United Kingdom,,Europe,Public,10,L
Stockholm University,2017,196,47.2,https://www.topuniversities.com/universities/stockholm-university,Sweden,Stockholm,Europe,Public,12,L
University of Calgary,2017,196,47.2,https://www.topuniversities.com/universities/university-calgary,Canada,Calgary,North America,Public,12,XL
Western University,2017,198,47.1,https://www.topuniversities.com/universities/western-university,Canada,London,North America,Public,22,L
Vrije Universiteit Amsterdam,2017,199,46.8,https://www.topuniversities.com/universities/vrije-universiteit-amsterdam,Netherlands,Amsterdam,Europe,Public,10,L
Universidad de Chile,2017,200,46.7,https://www.topuniversities.com/universities/universidad-de-chile,Chile,Santiago,Latin America,Public,15,XL
Waseda University,2017,201,46.5,https://www.topuniversities.com/universities/waseda-university,Japan,Tokyo,Asia,Private,11,XL
Case Western Reserve University,2017,202,46.4,https://www.topuniversities.com/universities/case-western-reserve-university,United States,Cleveland,North America,Private,7,M
Universitat Autònoma de Barcelona,2017,203,46.3,https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona,Spain,Barcelona,Europe,Public,15,XL
Vanderbilt University,2017,203,46.3,https://www.topuniversities.com/universities/vanderbilt-university,United States,Nashville,North America,Private,3,L
University of Notre Dame,2017,203,46.3,https://www.topuniversities.com/universities/university-notre-dame,United States,Notre Dame,North America,Private,8,L
Université Grenoble Alpes,2017,206,46.1,https://www.topuniversities.com/universities/universite-grenoble-alpes,France,Grenoble,Europe,Public,17,XL
Tecnológico de Monterrey,2017,206,46.1,https://www.topuniversities.com/universities/tecnologico-de-monterrey,Mexico,Monterrey,Latin America,Private,8,XL
Alma Mater Studiorum - University of Bologna,2017,208,46,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna,Italy,Bologna,Europe,Public,24,XL
University of Antwerp,2017,209,45.8,https://www.topuniversities.com/universities/university-antwerp,Belgium,Antwerp,Europe,Public,9,L
Universidad Autónoma de Madrid,2017,210,45.7,https://www.topuniversities.com/universities/universidad-autonoma-de-madrid,Spain,Madrid,Europe,Public,10,L
Technische Universität Dresden,2017,210,45.7,https://www.topuniversities.com/universities/technische-universitat-dresden,Germany,Dresden,Europe,Public,7,XL
Tel Aviv University,2017,212,45.6,https://www.topuniversities.com/universities/tel-aviv-university,Israel,Tel Aviv,Asia,Public,22,L
Technion - Israel Institute of Technology,2017,213,45.5,https://www.topuniversities.com/universities/technion-israel-institute-technology,Israel,Haifa,Asia,Public,8,L
University of Canterbury,2017,214,40,https://www.topuniversities.com/universities/university-canterbury,New Zealand,Christchurch,Oceania,Public,17,L
Georgetown University,2017,214,45.4,https://www.topuniversities.com/universities/georgetown-university,United States,Washington D.C.,North America,Private,8,L
Keio University,2017,216,45.1,https://www.topuniversities.com/universities/keio-university,Japan,Tokyo,Asia,Private,8,XL
Universite libre de Bruxelles,2017,216,45.1,https://www.topuniversities.com/universities/universite-libre-de-bruxelles,Belgium,Brussels,Europe,Public,23,L
University of Wollongong,2017,218,44.7,https://www.topuniversities.com/universities/university-wollongong,Australia,Wollongong,Oceania,Public,13,L
Indian Institute of Technology Bombay (IITB),2017,219,44.6,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb,India,Mumbai,Asia,Public,11,M
Sciences Po ,2017,220,38.1,https://www.topuniversities.com/universities/sciences-po,France,Paris,Europe,Public,6,M
Université Paris-Sorbonne (Paris IV),2017,221,37.9,https://www.topuniversities.com/universities/universite-paris-sorbonne-paris-iv,France,Paris,Europe,Public,9,XL
Arizona State University,2017,222,44.2,https://www.topuniversities.com/universities/arizona-state-university,United States,Phoenix,North America,Public,17,XL
Sapienza University of Rome,2017,223,44,https://www.topuniversities.com/universities/sapienza-university-rome,Italy,Rome,Europe,Public,23,XL
Queen's University at Kingston,2017,223,44,https://www.topuniversities.com/universities/queens-university-kingston,Canada,Kingston,North America,Public,19,L
University of Tsukuba,2017,225,43.8,https://www.topuniversities.com/universities/university-tsukuba,Japan,Tsukuba City,Asia,Public,8,L
Simon Fraser University,2017,226,43.6,https://www.topuniversities.com/universities/simon-fraser-university,Canada,Burnaby,North America,Public,21,L
King Saud University,2017,227,43.4,https://www.topuniversities.com/universities/king-saud-university,Saudi Arabia,Riyadh,Asia,Public,9,XL
Université Paris 1 Panthéon-Sorbonne,2017,228,43.3,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne,France,Paris,Europe,Public,21,XL
Victoria University of Wellington,2017,228,43.3,https://www.topuniversities.com/universities/victoria-university-wellington,New Zealand,"Kelburn, Wellington",Oceania,Public,16,L
American University of Beirut (AUB),2017,228,43.3,https://www.topuniversities.com/universities/american-university-beirut-aub,Lebanon,Beirut ,Asia,Private,8,M
Rheinische Friedrich-Wilhelms-Universität Bonn,2017,231,43,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,Germany,Bonn,Europe,Public,5,L
Universität Hamburg,2017,232,42.9,https://www.topuniversities.com/universities/universitat-hamburg,Germany,Hamburg,Europe,Public,14,L
The University of Arizona,2017,233,42.8,https://www.topuniversities.com/universities/university-arizona,United States,Tucson,North America,Public,6,XL
University of Turku,2017,234,42.7,https://www.topuniversities.com/universities/university-turku,Finland,Turku,Europe,Public,8,L
Royal Holloway University of London,2017,235,42.6,https://www.topuniversities.com/universities/royal-holloway-university-london,United Kingdom,Egham,Europe,Public,13,M
Al-Farabi Kazakh National University,2017,236,42.5,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,Kazakhstan,Almaty,Asia,Public,6,L
Loughborough University,2017,237,42.3,https://www.topuniversities.com/universities/loughborough-university,United Kingdom,Loughborough,Europe,Public,12,L
Tufts University,2017,238,42.2,https://www.topuniversities.com/universities/tufts-university,United States,Medford,North America,Private,8,M
Complutense University of Madrid,2017,239,42.1,https://www.topuniversities.com/universities/complutense-university-madrid,Spain,Madrid,Europe,Public,13,XL
University of Leicester,2017,239,42.1,https://www.topuniversities.com/universities/university-leicester,United Kingdom,Leicester,Europe,Public,10,L
National Cheng Kung University (NCKU),2017,241,42,https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,Taiwan,Tainan City,Asia,Public,10,L
Université Paris-Saclay,2017,241,42,https://www.topuniversities.com/universities/universite-paris-saclay,France,,Europe,Public,5,XL
National Taiwan University of Science and Technology (Taiwan Tech),2017,243,41.7,https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech,Taiwan,Taipei City,Asia,Public,9,M
 University of Dundee,2017,244,41.6,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,Public,14,L
"The University of Newcastle, Australia (UON)",2017,245,41.3,https://www.topuniversities.com/universities/university-newcastle-australia-uon,Australia,Callaghan,Oceania,Public,11,L
University of Navarra,2017,245,41.3,https://www.topuniversities.com/universities/university-navarra,Spain,Pamplona,Europe,Private,9,M
Macquarie University,2017,247,41.2,https://www.topuniversities.com/universities/macquarie-university,Australia,Sydney,Oceania,Public,14,L
Technical University of Darmstadt,2017,247,41.2,https://www.topuniversities.com/universities/technical-university-darmstadt,Germany,Darmstadt,Europe,Public,20,L
Indian Institute of Technology Madras (IITM),2017,249,41,https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm,India,Chennai,Asia,Public,11,M
National University of Ireland Galway,2017,249,41,https://www.topuniversities.com/universities/national-university-ireland-galway,Ireland,Galway,Europe,Public,8,L
University of Massachusetts Amherst,2017,251,40.8,https://www.topuniversities.com/universities/university-massachusetts-amherst,United States,Amherst,North America,Public,14,L
Chulalongkorn University,2017,252,40.6,https://www.topuniversities.com/universities/chulalongkorn-university,Thailand,Bangkok,Asia,Public,10,XL
RMIT University,2017,252,40.6,https://www.topuniversities.com/universities/rmit-university,Australia,Melbourne,Oceania,Public,18,XL
SOAS University of London ,2017,252,40.6,https://www.topuniversities.com/universities/soas-university-london,United Kingdom,London,Europe,Public,11,S
University of East Anglia (UEA),2017,252,40.6,https://www.topuniversities.com/universities/university-east-anglia-uea,United Kingdom,Norwich,Europe,Public,13,L
University of Miami,2017,252,40.6,https://www.topuniversities.com/universities/university-miami,United States,Miami,North America,Private,6,L
Beijing Normal University ,2017,257,40.4,https://www.topuniversities.com/universities/beijing-normal-university,China (Mainland),Beijing,Asia,Public,11,L
Saint Petersburg State University,2017,258,40.1,https://www.topuniversities.com/universities/saint-petersburg-state-university,Russia,Saint Petersburg,Europe,Public,8,L
Norwegian University of Science And Technology,2017,259,39.8,https://www.topuniversities.com/universities/norwegian-university-science-technology,Norway,Trondheim,Europe,Public,12,XL
Université de Strasbourg,2017,260,39.6,https://www.topuniversities.com/universities/universite-de-strasbourg,France,Strasbourg,Europe,Public,21,XL
University of Surrey,2017,261,39.5,https://www.topuniversities.com/universities/university-surrey,United Kingdom,Guildford,Europe,Public,13,L
Université Diderot  Paris 7,2017,262,34.7,https://www.topuniversities.com/universities/universite-diderot-paris-7,France,Paris,Europe,Public,17,XL
Universität Stuttgart,2017,263,39.3,https://www.topuniversities.com/universities/universitat-stuttgart,Germany,Stuttgart,Europe,Public,17,L
Goethe-University Frankfurt am Main,2017,264,39.2,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main,Germany,Frankfurt,Europe,Public,12,XL
University of Gothenburg,2017,264,39.2,https://www.topuniversities.com/universities/university-gothenburg,Sweden,Gothenburg,Europe,Public,8,L
Kyung Hee University,2017,264,39.2,https://www.topuniversities.com/universities/kyung-hee-university,South Korea,,Asia,Private,7,L
ENS Paris-Saclay,2017,264,34.6,https://www.topuniversities.com/universities/ens-paris-saclay,France,Cachan,Europe,Public,6,S
Ecole des Ponts ParisTech,2017,268,39.1,https://www.topuniversities.com/universities/ecole-des-ponts-paristech,France,Paris,Europe,Public,6,S
Universidad Nacional de Colombia,2017,269,38.9,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,Colombia,Bogotá,Latin America,Public,14,XL
Universiti Putra Malaysia (UPM),2017,270,38.8,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,Malaysia,Seri Kembangan,Asia,Public,8,L
"University of California, Riverside",2017,271,38.7,https://www.topuniversities.com/universities/university-california-riverside,United States,Riverside,North America,Public,17,L
Universidad de los Andes,2017,272,38.5,https://www.topuniversities.com/universities/universidad-de-los-andes,Colombia,Bogotá,Latin America,Private,13,L
Friedrich-Alexander-Universität Erlangen-Nürnberg,2017,272,38.5,https://www.topuniversities.com/universities/friedrich-alexander-universitat-erlangen-nurnberg,Germany,Erlangen,Europe,Public,32,XL
University of Strathclyde,2017,272,38.5,https://www.topuniversities.com/universities/university-strathclyde,United Kingdom,Glasgow,Europe,Public,13,L
Wuhan University,2017,275,38.2,https://www.topuniversities.com/universities/wuhan-university,China (Mainland),Wuhan,Asia,Public,14,XL
Queensland University of Technology (QUT),2017,276,38.1,https://www.topuniversities.com/universities/queensland-university-technology-qut,Australia,Brisbane,Oceania,Public,17,XL
North Carolina State University,2017,277,38,https://www.topuniversities.com/universities/north-carolina-state-university,United States,Raleigh,North America,Public,15,L
Harbin Institute of Technology,2017,278,37.9,https://www.topuniversities.com/universities/harbin-institute-technology,China (Mainland),Harbin,Asia,Public,9,XL
Hong Kong Baptist University,2017,278,37.9,https://www.topuniversities.com/universities/hong-kong-baptist-university,Hong Kong SAR,Hong Kong,Asia,Public,9,M
Universidad Carlos III de Madrid (UC3M),2017,280,37.8,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,Spain,Madrid,Europe,Public,9,L
"Birkbeck, University of London",2017,280,37.8,https://www.topuniversities.com/universities/birkbeck-university-london,United Kingdom,London,Europe,Public,14,M
Linköping University,2017,282,37.7,https://www.topuniversities.com/universities/linkoping-university,Sweden,Linköping,Europe,Public,11,L
Mahidol University,2017,283,37.6,https://www.topuniversities.com/universities/mahidol-university,Thailand,Nakhon Pathom,Asia,Public,7,L
Universitat Pompeu Fabra (Barcelona),2017,283,37.6,https://www.topuniversities.com/universities/universitat-pompeu-fabra,Spain,Barcelona,Europe,Public,16,L
University College Cork,2017,283,37.6,https://www.topuniversities.com/universities/university-college-cork,Ireland,Cork,Europe,Public,10,L
